Power_On_Hours,Total_TBW_TB,Total_TBR_TB,Temperature_C,Percent_Life_Used,Media_Errors,Unsafe_Shutdowns,CRC_Errors,Read_Error_Rate,Failure_Mode,Failure_Flag
37356,4235.49,2841.93,56.32,125.3,5,2,0,4,1,1
9841,657.78,307.89,99.59,58.85,2,3,0,2,2,1
14985,580.93,748.28,31.16,23.43,0,0,0,0,0,0
4828,1797.3,1642.08,34.86,43.09,2,0,20,2,4,1
10398,285.29,1025.85,53.48,131.75,18,6,1,25,5,1
18569,682.38,1106.17,27.44,29.94,3,3,21,8,4,1
47575,877.26,3774.31,48.41,101.63,0,2,2,2,1,1
5868,213.5,431.61,30.62,61.86,0,0,0,0,0,0
16599,2993.81,1471.27,77.28,77.42,10,4,3,26,5,1
33247,1104.49,4091.67,55.53,126.18,2,0,1,5,1,1
21846,1281.96,2042.95,55.18,137.43,11,4,4,22,5,1
19943,1953.05,107.38,77.84,77.94,2,3,1,1,2,1
7607,1940.97,1779.33,95.11,85.79,2,1,0,0,2,1
7162,711.97,554.33,94.74,52.28,2,0,0,4,2,1
5547,465.74,37.48,41.43,52.89,5,9,1,2,3,1
9918,897.21,1306.49,43.87,77.26,0,3,19,4,4,1
36026,1383.02,3132.24,71.83,88.02,2,3,0,1,1,1
29395,2746.13,2826.81,60.8,78.06,18,2,3,22,5,1
11749,1317.67,3742.48,40.32,101.88,2,1,1,1,1,1
11537,340.43,320.68,92.62,41.33,1,2,4,2,2,1
706,1561.76,462.32,35.32,81.1,1,0,20,3,4,1
4683,613.24,1487.04,34.85,99.95,0,2,14,6,4,1
16739,317.24,307.77,68.16,84.5,26,3,3,18,5,1
12062,1020.52,411.95,25.41,6.42,0,0,0,0,0,0
11086,1405.07,1509.67,38.49,84.1,1,1,20,3,4,1
8707,661.15,1912.94,97.89,83.69,3,2,0,1,2,1
20651,4876.33,1105.36,43.91,112.14,2,2,0,1,1,1
14940,1312.23,641.27,39.36,97.96,1,4,20,6,4,1
23599,3298.51,2601.09,62.8,40.31,21,7,2,27,5,1
18739,1319.74,1157.47,54.3,109.24,19,3,1,18,5,1
8688,504.8,722.46,36.13,69.58,0,1,0,0,0,0
39795,1340.06,956.52,46.24,128.19,3,5,1,0,1,1
4240,2760.84,1579.45,53.57,129.54,15,3,7,24,5,1
6293,1318.4,1089.78,39.42,45.38,0,4,11,3,4,1
11389,582.23,149.46,83.3,98.24,1,1,2,1,2,1
23222,693.25,882.98,90.58,68.25,1,0,0,0,2,1
15566,847.6,144.33,88.49,117.67,0,1,1,0,2,1
7904,3297.67,2201.31,56.63,72.09,17,5,1,18,5,1
13214,1122.07,1324.95,92.36,47.83,2,1,1,0,2,1
2947,36.21,102.38,40.7,34.09,8,8,3,6,3,1
5646,512.82,305.35,32.89,13.09,0,0,0,0,0,0
24553,690.11,956.98,88.34,104.91,1,0,0,3,2,1
19194,3352.99,4382.81,74.56,124.97,2,1,0,3,1,1
49579,3266.25,1785.41,53.35,92.31,3,0,1,1,1,1
8764,908.05,1746.11,47.16,85.29,0,4,17,7,4,1
17472,163.45,1154.21,87.15,41.07,0,2,0,3,2,1
17124,2795.47,823.56,65.15,106.04,4,3,1,4,1,1
13803,1020.58,661.04,42.05,7.49,0,0,0,0,0,0
17097,1622.03,251.05,77.33,61.13,2,2,1,4,2,1
43737,3233.49,2059.42,45.81,83.82,2,0,1,0,1,1
49535,2260.88,733.59,49.6,149.3,4,3,0,1,1,1
15756,745.37,1214.05,50.08,72.77,1,0,18,5,4,1
20212,564.19,1978.55,84.13,57.4,3,1,0,1,2,1
15429,1876.65,732.81,95.39,102.53,1,2,0,1,2,1
47982,3777.4,826.58,42.09,105.94,3,2,0,1,1,1
26995,703.95,1507.59,56.53,88.57,10,2,2,18,5,1
7273,120.09,499.11,64.22,25.43,5,10,0,1,3,1
2242,128.51,702.5,86.68,112.09,0,3,2,1,2,1
1731,686.08,170.77,41.95,42.76,9,8,2,5,3,1
603,233.53,672.79,45.42,54.6,3,10,4,5,3,1
6286,1329.98,1598.21,86.76,66.65,3,3,0,0,2,1
33245,1308.74,2319.15,50.49,101.84,1,4,2,7,1,1
6995,1626.62,1118.04,93.72,52.29,2,3,1,1,2,1
3191,645.09,807.91,95.67,56.69,5,0,2,1,2,1
14445,33.47,143.83,45.86,9.62,0,0,0,0,0,0
27334,1232.62,2507.42,68.18,71.68,15,5,1,21,5,1
1601,686.51,623.15,33.64,41.72,6,12,1,4,3,1
3373,34.6,276.33,40.53,21.51,0,1,0,0,0,0
17509,2336.68,2366.77,59.83,59.66,11,4,3,20,5,1
7258,1072.19,2607.15,75.49,53.85,15,1,2,23,5,1
2664,3416.08,484.76,47.22,56.92,13,3,0,21,5,1
2780,861.81,734.01,75.03,74.33,1,3,2,2,2,1
4430,1204.6,411.07,98.94,81.23,3,0,2,0,2,1
9659,1334.36,709.78,40.44,19.34,2,3,24,5,4,1
265,565.36,487.31,50.23,17.7,0,0,0,0,0,0
3425,1731.89,1055.34,85.87,103.68,1,4,1,4,2,1
15773,1838.38,649.08,40.57,43.33,4,3,20,6,4,1
30730,1052.27,1121.83,57.85,96.43,2,3,0,1,1,1
18548,341.12,1736.9,77.67,111.27,3,2,1,1,2,1
44190,2428.58,4113.52,51.96,80.61,2,2,1,1,1,1
23805,1278.87,2821.34,66.49,107.97,3,0,2,2,1,1
10429,2536.06,1843.47,43.14,83.26,4,3,1,0,1,1
19058,2365.75,2221.04,56.6,136.5,20,1,2,21,5,1
20551,3495.02,2529.1,36.54,88.74,16,5,1,17,5,1
42629,3699.94,1818.72,65.75,118.53,2,2,0,3,1,1
1937,294.02,268.16,53.81,18.83,3,10,6,2,3,1
2057,67.26,167.21,44.33,74.29,3,12,1,2,3,1
2521,768.31,980.77,52.1,51.73,0,1,0,0,0,0
1098,966.69,801.99,53.07,32.26,0,1,0,0,0,0
18026,533.0,1476.85,51.88,16.27,0,4,19,9,4,1
619,69.31,436.98,60.77,41.13,1,12,4,1,3,1
987,609.11,600.16,49.51,23.93,0,2,12,8,4,1
10121,106.86,552.95,25.68,78.68,2,5,19,1,4,1
8331,2926.87,2621.89,51.76,112.13,22,5,1,34,5,1
48305,4507.75,1107.47,69.95,130.7,2,2,1,5,1,1
13146,1807.75,1688.04,78.41,95.61,9,3,2,0,2,1
6564,1146.98,254.49,50.79,13.5,0,1,0,0,0,0
40480,3649.57,3793.53,59.73,116.77,1,3,1,4,1,1
11093,1601.24,1406.68,26.79,74.89,0,3,19,4,4,1
12381,1300.36,748.63,75.97,98.04,3,1,0,2,2,1
7707,961.0,340.85,46.93,33.6,0,0,0,0,0,0
28835,3313.22,2721.61,36.67,49.99,15,5,1,16,5,1
7256,906.11,395.01,89.51,44.98,1,4,0,2,2,1
12744,2670.95,2695.17,69.07,93.97,19,6,0,15,5,1
7926,1987.49,2820.79,62.21,79.67,14,5,1,9,5,1
19667,1220.27,862.7,33.56,59.28,0,4,22,5,4,1
23014,1614.22,715.95,44.12,64.04,13,7,1,20,5,1
6930,1078.03,1667.25,50.91,97.64,0,7,16,7,4,1
18988,1259.28,956.04,32.99,79.35,5,6,16,5,4,1
18952,277.8,1565.43,87.5,118.17,1,1,1,1,2,1
12132,4361.92,4490.53,60.6,101.66,3,1,1,2,1,1
12063,1969.23,284.71,49.92,46.15,1,2,16,9,4,1
29653,1272.49,3424.49,53.5,85.14,4,2,0,0,1,1
9047,104.34,570.19,52.24,31.71,0,0,0,0,0,0
6647,1452.33,1321.28,33.11,102.63,2,3,33,5,4,1
10178,2864.19,434.6,53.11,108.03,21,6,2,26,5,1
5865,314.36,133.08,36.12,62.29,3,9,0,5,3,1
5954,1818.75,973.18,26.62,94.61,0,8,27,5,4,1
1576,181.07,109.62,47.19,83.85,5,9,1,3,3,1
22145,211.36,456.04,79.75,78.5,1,4,0,3,2,1
42710,994.68,2743.71,56.34,144.95,2,1,3,2,1,1
44617,1419.29,2240.61,45.51,139.82,2,1,2,1,1,1
9945,843.0,994.47,32.65,70.12,4,1,22,6,4,1
9062,1489.62,257.67,99.15,89.42,3,2,3,0,2,1
7438,653.95,42.54,52.47,56.8,2,8,1,2,3,1
6340,999.04,25.33,33.19,0.2,0,0,0,0,0,0
4072,166.53,258.79,47.16,43.99,3,9,3,3,3,1
2438,230.81,509.98,48.93,30.23,3,10,0,2,3,1
15941,1066.21,1458.57,64.49,92.59,0,5,28,4,4,1
4074,780.17,646.52,49.59,37.2,0,5,19,4,4,1
4038,263.08,59.31,40.08,67.08,6,9,5,2,3,1
3658,1071.56,1218.45,99.24,49.06,1,3,1,0,2,1
41065,1152.86,911.45,69.1,124.07,2,2,0,2,1,1
12548,973.43,683.46,61.61,10.18,1,2,19,1,4,1
11498,1675.04,2969.82,66.56,110.08,2,1,0,3,1,1
12371,2203.94,1834.19,58.79,108.25,17,9,2,27,5,1
23426,2916.31,4473.69,55.24,116.73,4,4,0,5,1,1
1125,3465.54,1476.13,73.05,95.39,16,4,1,20,5,1
14171,2069.09,3888.87,52.25,96.07,3,3,0,3,1,1
627,1047.22,369.5,53.55,75.7,0,0,0,0,0,0
13908,312.16,254.41,45.89,56.98,0,0,0,0,0,0
23246,2068.23,368.07,90.21,95.48,4,2,1,0,2,1
6094,107.98,1122.99,33.07,104.66,2,3,18,2,4,1
4678,134.55,824.42,31.3,31.53,0,0,0,0,0,0
22819,212.04,1445.84,77.61,102.42,3,2,3,0,2,1
315,376.17,249.75,27.19,59.52,0,1,0,0,0,0
39723,3888.83,1256.68,61.97,127.47,3,2,2,1,1,1
7582,1005.57,701.74,99.54,109.77,1,2,3,2,2,1
16469,2063.28,819.42,74.13,60.09,12,4,1,18,5,1
7773,780.67,15.68,49.91,52.73,2,4,3,7,3,1
13781,1300.2,1353.34,69.32,84.44,1,3,0,2,1,1
17363,2435.05,2313.66,65.31,60.82,12,4,0,20,5,1
2658,1038.51,660.43,34.23,99.87,1,2,11,4,4,1
4129,2808.19,1384.28,70.36,61.69,14,5,3,18,5,1
10361,1160.46,192.84,40.12,82.54,1,2,27,3,4,1
885,358.53,88.44,43.53,76.76,6,14,5,7,3,1
14943,1525.25,1961.62,90.62,49.83,2,1,1,1,2,1
16993,1513.94,85.35,42.35,109.96,0,0,18,4,4,1
6969,816.89,303.12,41.85,57.19,0,1,0,0,0,0
25016,1093.29,3155.45,63.7,114.4,6,1,0,1,1,1
9038,859.35,2482.1,51.56,38.36,19,7,6,24,5,1
16950,2166.86,1683.98,98.51,97.84,1,2,2,1,2,1
3440,194.32,42.85,27.3,83.45,4,12,1,0,3,1
6473,2165.01,1975.57,61.73,38.15,24,5,1,21,5,1
15705,487.68,443.6,61.78,83.02,1,3,21,6,4,1
1514,514.48,75.81,25.05,41.86,0,0,0,0,0,0
12978,2165.54,1044.94,48.01,58.48,13,4,3,18,5,1
3626,135.15,368.73,30.28,66.96,5,4,3,4,3,1
5485,754.82,363.73,52.12,9.21,6,11,3,3,3,1
20880,2562.97,1621.76,69.02,59.97,12,6,0,19,5,1
18077,298.56,349.61,57.19,28.74,1,5,16,11,4,1
6169,1480.29,1565.88,35.16,86.47,3,4,18,4,4,1
7218,222.26,401.83,46.66,87.58,3,7,1,4,3,1
19571,316.22,713.3,99.17,78.89,3,1,2,0,2,1
23776,3308.02,1776.19,64.78,54.99,9,6,4,23,5,1
10805,1569.78,794.9,97.08,119.7,0,2,0,2,2,1
7445,746.53,290.06,51.85,1.94,0,0,0,0,0,0
23946,3060.59,3035.84,55.96,90.27,3,2,0,1,1,1
19311,2351.06,2027.99,68.97,101.84,3,1,0,2,1,1
14039,1649.12,104.04,60.05,22.17,0,1,12,3,4,1
22883,203.6,166.11,79.38,75.92,1,5,0,1,2,1
3630,335.72,951.87,66.27,32.03,0,3,27,10,4,1
12635,101.13,1745.55,93.31,83.69,2,0,1,0,2,1
10179,1627.7,1544.14,92.39,57.37,1,4,2,0,2,1
4939,646.68,15.35,44.4,48.0,4,10,2,0,3,1
14278,879.29,221.76,25.97,27.2,0,5,17,5,4,1
5075,689.74,827.28,33.26,6.02,0,1,0,0,0,0
7106,1418.64,1582.77,98.46,62.71,2,2,0,0,2,1
17096,2971.62,1484.34,61.94,113.13,4,1,0,1,1,1
5004,737.39,549.09,39.17,21.66,7,9,3,3,3,1
7021,86.16,275.43,64.64,81.81,6,6,2,1,3,1
15675,2208.34,454.78,90.55,45.19,1,2,1,2,2,1
1058,543.39,28.94,30.05,80.03,3,15,0,3,3,1
26703,3187.08,1000.36,47.07,96.43,1,2,2,0,1,1
3077,1025.02,321.91,40.71,38.83,0,0,0,0,0,0
3238,57.49,256.64,52.82,46.3,3,10,1,7,3,1
6672,145.38,416.85,44.44,56.97,0,0,0,0,0,0
20851,3131.55,2983.58,62.1,102.71,10,3,0,24,5,1
8383,1245.5,1161.83,38.26,37.76,0,3,23,1,4,1
15445,4142.5,604.47,49.88,120.88,5,3,0,1,1,1
27442,4678.12,4164.55,60.46,106.69,1,1,2,2,1,1
10106,2238.82,881.95,76.9,100.87,18,2,1,14,5,1
24371,3450.7,2257.94,51.73,81.41,9,5,2,22,5,1
13538,1206.61,2629.0,58.51,135.8,2,5,1,4,1,1
13138,1372.34,1203.15,64.67,37.57,1,3,25,3,4,1
12562,212.01,966.0,25.45,38.49,0,0,0,0,0,0
24773,1042.02,1175.86,81.15,64.83,1,0,1,0,2,1
5189,59.3,968.12,41.5,77.05,0,0,0,0,0,0
9218,419.73,71.14,47.03,41.74,0,0,0,0,0,0
12711,1121.98,358.11,28.04,38.87,0,0,0,0,0,0
2670,1830.55,879.24,52.1,30.15,3,4,20,3,4,1
6646,631.49,345.05,31.66,58.58,3,11,1,6,3,1
25916,3927.49,3556.1,74.92,143.0,4,0,2,0,1,1
14244,1735.29,343.49,95.06,113.56,3,1,0,3,2,1
2362,18.75,694.8,44.84,3.07,0,0,0,0,0,0
13965,1112.61,282.55,86.33,49.49,2,1,2,0,2,1
20233,2282.83,128.17,83.13,71.36,3,1,1,1,2,1
17859,403.61,1155.68,36.19,32.25,3,6,19,11,4,1
4014,324.7,621.06,31.04,10.67,3,9,1,5,3,1
9034,3426.15,672.13,38.97,43.72,16,6,0,15,5,1
12636,2347.71,1749.24,94.25,56.75,1,2,1,2,2,1
6722,91.53,522.97,27.4,58.36,9,7,0,4,3,1
4437,1617.05,887.99,86.64,59.82,3,2,0,3,2,1
23125,2058.75,357.87,75.38,87.64,2,5,2,0,2,1
15513,1258.82,588.31,52.86,71.79,0,2,20,5,4,1
9933,565.96,73.8,64.94,44.61,0,2,22,6,4,1
18414,113.23,1189.47,36.62,20.62,1,3,29,5,4,1
4638,30.97,640.44,50.77,33.66,4,12,3,5,3,1
6720,2063.8,1255.41,90.34,54.92,2,2,0,2,2,1
3099,915.14,1887.28,65.07,31.71,11,3,3,27,5,1
6759,734.24,603.09,61.51,88.63,3,11,2,1,3,1
4139,1436.34,1804.0,49.73,131.76,17,1,1,14,5,1
18781,598.58,508.15,90.69,79.05,3,1,1,2,2,1
2472,2144.9,1205.54,90.42,96.74,1,3,1,0,2,1
1459,1719.96,1796.37,39.44,42.94,2,4,24,2,4,1
14490,1118.63,1302.74,30.6,109.34,0,7,20,3,4,1
5286,665.77,578.44,58.14,41.29,7,7,1,2,3,1
24067,1694.57,1047.73,60.81,56.78,12,3,1,24,5,1
11123,929.78,526.08,54.28,10.04,0,0,0,0,0,0
11514,1246.32,1524.58,41.66,31.36,1,2,17,6,4,1
10362,67.19,949.65,51.6,20.87,0,0,0,0,0,0
15057,1475.58,2829.73,77.6,64.91,16,4,2,23,5,1
25196,4483.21,2970.61,68.53,116.51,3,5,0,2,1,1
3923,183.18,583.61,50.41,48.18,6,7,5,7,3,1
2279,989.56,890.0,41.34,16.36,0,0,0,0,0,0
780,585.59,360.14,66.51,10.67,1,2,18,4,4,1
1495,528.83,183.54,32.9,6.21,5,8,2,5,3,1
7054,1020.66,943.06,76.25,114.06,3,4,0,0,2,1
14323,2472.96,509.53,82.98,46.97,1,4,0,0,2,1
9853,400.3,175.42,99.44,59.04,5,3,0,0,2,1
18560,810.93,1139.51,27.14,102.3,0,4,20,4,4,1
7445,46.13,541.03,25.98,27.21,7,8,3,5,3,1
19285,503.96,877.96,63.13,119.52,15,4,1,22,5,1
2680,884.68,614.01,39.65,10.65,0,0,0,0,0,0
17178,821.59,230.86,55.7,52.43,0,3,18,2,4,1
11592,1175.06,1267.76,42.53,101.33,2,2,12,2,4,1
11290,1180.77,276.27,37.21,71.32,0,0,0,0,0,0
47441,2721.32,4459.21,66.24,110.14,4,1,1,2,1,1
2058,974.54,225.46,70.69,98.51,16,2,2,19,5,1
23942,2364.93,2056.69,52.21,113.15,13,2,4,19,5,1
9992,928.35,1832.04,76.95,104.7,1,0,0,0,2,1
21144,1187.31,495.99,62.07,138.66,18,3,1,20,5,1
3429,492.86,1651.41,26.66,13.02,1,4,23,5,4,1
2938,75.56,405.26,35.05,17.2,2,4,25,2,4,1
26312,835.93,318.99,71.81,113.93,11,5,0,18,5,1
3884,3013.56,1847.5,77.25,95.32,16,2,5,19,5,1
17576,698.7,617.81,70.72,138.34,17,5,3,22,5,1
19513,1531.1,867.3,60.41,45.02,2,6,18,4,4,1
22525,4420.26,3003.19,72.49,115.0,4,2,1,1,1,1
16642,852.36,130.33,85.77,64.54,4,0,2,0,2,1
16227,2562.54,2305.52,40.85,40.69,13,5,0,23,5,1
21677,529.75,325.62,86.34,50.18,5,3,1,1,2,1
5501,1090.78,2455.15,58.23,112.87,22,3,1,14,5,1
3735,649.18,526.4,57.12,83.59,2,16,1,6,3,1
23308,2752.79,1069.55,75.55,67.53,17,5,4,32,5,1
6874,1222.27,1385.02,52.81,37.34,1,3,20,9,4,1
9908,1259.27,1301.17,49.4,32.36,3,2,15,5,4,1
7310,1367.99,1084.68,35.55,36.94,0,3,18,3,4,1
6249,88.36,553.87,29.84,9.05,6,8,3,0,3,1
17126,2404.42,1263.93,97.37,63.35,2,1,3,1,2,1
12234,1583.48,1132.06,58.84,66.0,0,5,23,5,4,1
9231,453.69,517.49,37.39,5.53,0,0,0,0,0,0
18173,597.84,1473.08,75.18,64.99,4,4,0,0,2,1
27757,3875.95,3304.36,67.73,97.97,5,3,0,1,1,1
5087,2887.33,530.04,41.02,57.34,17,1,0,27,5,1
8282,2061.2,1713.19,80.07,44.89,1,1,4,1,2,1
16221,1147.15,2270.07,71.68,76.89,11,4,0,17,5,1
26825,3596.33,859.12,70.66,145.73,4,1,1,3,1,1
2560,513.21,521.98,36.1,59.26,0,1,0,0,0,0
12529,2376.29,1515.01,90.34,56.71,1,1,0,3,2,1
24181,3090.87,2529.46,41.17,138.98,16,4,3,20,5,1
4027,375.84,295.1,52.45,69.42,0,0,0,0,0,0
239,749.34,340.71,46.98,32.36,0,0,0,0,0,0
3751,368.19,121.78,46.15,77.94,1,3,17,3,4,1
10519,465.53,593.24,44.43,36.14,0,1,0,0,0,0
12279,417.35,445.95,46.21,47.01,0,0,0,0,0,0
6688,1899.04,1105.94,83.76,75.66,3,0,1,1,2,1
5385,131.25,18.24,38.01,7.41,0,2,0,0,0,0
10996,240.41,1750.68,67.57,100.6,1,1,18,4,4,1
27001,2992.83,675.49,65.5,114.16,2,1,0,2,1,1
17251,1057.77,1812.88,44.78,116.81,5,1,0,2,1,1
2413,210.86,152.67,42.94,58.81,8,9,0,4,3,1
2236,127.73,590.72,56.57,45.2,5,12,3,3,3,1
27420,1389.63,481.66,41.84,40.98,15,8,1,25,5,1
1831,177.55,459.47,63.87,56.41,7,12,2,1,3,1
5607,703.53,42.57,49.86,13.49,3,14,2,4,3,1
5857,733.39,581.22,30.15,28.22,5,9,4,0,3,1
6046,182.63,401.82,28.49,45.79,6,6,2,2,3,1
2880,523.34,721.97,41.9,34.2,0,0,0,0,0,0
14939,472.34,1777.55,90.39,90.0,1,2,1,3,2,1
37192,2978.84,2934.64,40.03,88.93,2,2,0,0,1,1
19224,3836.87,1801.2,71.09,146.29,1,2,1,1,1,1
28834,2126.16,1083.12,68.63,74.34,17,5,3,18,5,1
5677,742.96,615.24,61.29,37.16,4,8,1,4,3,1
18797,2541.36,850.02,50.15,125.06,2,0,1,1,1,1
19783,86.36,428.3,33.28,84.74,1,3,23,5,4,1
8474,936.57,1520.87,98.14,88.8,5,2,1,0,2,1
3352,346.14,430.98,26.13,10.23,0,1,0,0,0,0
561,745.02,616.21,55.11,67.32,10,8,5,1,3,1
2216,1649.58,542.15,75.29,52.57,2,1,2,0,2,1
13416,836.93,3411.69,56.08,127.62,4,3,1,2,1,1
14399,1638.69,1687.88,54.85,124.87,11,6,2,22,5,1
19167,549.09,2181.12,58.99,36.74,18,3,6,21,5,1
6859,418.47,1097.93,41.8,103.31,0,3,10,2,4,1
1005,908.07,950.37,59.67,107.17,0,5,19,8,4,1
20812,2131.94,4397.87,63.35,109.8,6,2,1,1,1,1
20617,3107.12,2803.63,57.91,121.56,17,6,3,24,5,1
19108,491.91,532.39,75.02,65.05,1,2,1,3,2,1
5780,712.57,408.24,31.4,8.95,3,13,2,3,3,1
10410,2469.63,1965.2,88.72,65.45,2,3,1,0,2,1
6178,10.29,135.67,53.01,69.39,0,0,0,0,0,0
5136,1337.23,1945.18,78.59,51.72,19,4,3,27,5,1
24433,570.28,942.9,85.55,99.92,3,1,0,2,2,1
24627,2176.99,4020.1,70.26,92.51,2,2,1,1,1,1
3850,229.19,1478.89,37.08,103.55,2,3,19,8,4,1
13191,1851.87,2676.88,40.77,123.38,5,2,1,5,1,1
4204,598.11,529.75,46.14,53.2,2,7,1,5,3,1
1965,679.0,1234.72,56.15,40.64,2,2,23,12,4,1
8196,850.42,784.83,38.66,55.85,0,0,0,0,0,0
14811,1845.57,1113.23,76.56,95.56,2,2,1,2,2,1
31214,3323.54,3125.66,64.09,132.98,4,0,2,1,1,1
37644,3335.24,1542.66,54.69,104.98,2,1,1,4,1,1
400,729.95,219.79,49.25,44.55,5,14,3,5,3,1
15605,3975.22,1253.79,54.56,97.53,4,2,1,1,1,1
2146,32.25,62.84,27.74,58.34,6,15,2,2,3,1
11026,359.13,43.08,49.47,36.03,0,0,0,0,0,0
24405,1601.35,1815.26,79.52,74.57,1,1,1,0,2,1
17374,1988.46,779.87,25.07,76.9,0,1,20,1,4,1
9565,1001.19,745.29,50.4,5.11,0,0,0,0,0,0
20912,3970.62,2563.62,47.19,132.53,5,1,2,4,1,1
5038,570.87,981.29,47.21,9.44,0,1,0,0,0,0
7933,926.83,343.93,53.25,42.38,0,3,0,0,0,0
21912,1216.02,1470.55,98.16,79.43,4,0,1,1,2,1
8673,535.13,74.97,37.04,61.19,0,1,0,0,0,0
1801,1940.87,1773.35,62.08,34.74,1,4,18,7,4,1
19512,1875.03,1004.88,97.84,102.93,4,4,2,1,2,1
41303,4006.3,1964.6,45.14,86.6,4,3,1,1,1,1
41585,4543.64,2353.13,59.24,142.76,2,1,0,2,1,1
49022,3127.7,1970.12,71.18,85.7,2,3,0,1,1,1
2329,907.19,597.75,57.34,49.77,1,2,28,6,4,1
666,634.26,230.52,35.13,39.23,0,0,0,0,0,0
48966,1579.29,3657.67,44.52,144.07,1,2,0,2,1,1
17710,406.37,1254.75,43.51,22.82,1,4,19,5,4,1
11172,1307.02,378.54,68.22,98.95,2,5,15,3,4,1
26308,2721.69,2866.77,68.2,125.25,17,5,3,23,5,1
13247,2077.96,1384.67,97.38,65.26,4,0,1,1,2,1
3923,1098.36,100.13,44.45,33.06,0,0,0,0,0,0
16955,4247.22,3347.63,55.41,141.49,1,1,0,4,1,1
34495,4523.32,4242.38,45.68,82.06,0,2,0,2,1,1
4025,1899.92,1856.21,80.41,110.56,4,3,0,2,2,1
24128,4270.33,765.85,54.69,112.27,5,0,5,3,1,1
7074,160.36,566.93,47.95,75.23,0,0,0,0,0,0
8175,837.43,415.35,51.29,23.84,0,0,0,0,0,0
8730,1224.51,1461.3,79.79,73.45,13,4,2,23,5,1
6182,565.86,391.54,37.65,20.03,3,5,4,6,3,1
21359,1060.64,982.95,51.43,119.51,10,8,1,15,5,1
7091,1881.77,2082.69,40.5,105.21,19,1,0,20,5,1
4561,680.96,225.15,36.36,76.95,7,6,0,1,3,1
49853,1295.95,962.01,45.53,136.9,5,5,1,4,1,1
24035,2339.12,768.53,74.1,81.2,2,3,0,3,1,1
3226,461.32,410.78,45.44,89.33,4,9,2,5,3,1
767,1892.07,308.1,67.29,66.81,2,3,22,7,4,1
12561,1474.25,1758.69,36.72,75.44,1,1,30,4,4,1
17778,404.64,1465.49,78.93,63.89,14,4,5,15,5,1
12531,792.69,2665.82,39.42,108.54,12,4,0,28,5,1
3770,127.77,311.98,63.54,12.41,3,10,2,1,3,1
8326,1465.47,924.43,52.35,53.66,1,0,21,9,4,1
5911,1321.09,2712.3,68.78,132.29,15,2,3,16,5,1
14276,3948.21,3804.98,56.71,127.5,3,1,1,2,1,1
22669,1899.9,1463.52,76.82,55.01,4,1,1,1,2,1
3187,623.4,115.38,55.72,38.39,4,15,4,0,3,1
1209,508.43,36.8,48.72,24.62,4,13,4,1,3,1
14418,135.36,230.14,40.58,48.62,0,0,0,0,0,0
25981,411.17,2484.07,37.8,77.39,20,4,3,24,5,1
8061,161.37,866.01,32.3,52.14,0,1,0,0,0,0
14907,1509.67,888.68,48.27,84.04,5,0,1,2,1,1
2463,399.39,185.78,80.85,44.77,1,4,4,0,2,1
41081,3566.75,1983.53,72.41,139.42,2,3,1,2,1,1
8622,1944.92,1223.31,53.2,98.44,0,2,18,3,4,1
4305,297.81,35.97,34.45,15.2,3,11,0,2,3,1
5220,1072.96,903.92,29.34,88.79,1,3,19,8,4,1
17695,1325.31,2743.09,62.22,118.29,14,5,4,19,5,1
47046,1751.05,928.09,45.48,124.26,4,0,3,1,1,1
17732,1555.56,256.22,98.53,102.25,1,0,0,1,2,1
8730,144.63,357.87,54.95,71.11,0,0,0,0,0,0
24238,302.23,716.2,37.05,83.97,14,2,0,16,5,1
6167,727.21,586.13,50.17,24.33,5,9,1,3,3,1
15461,2358.64,1630.07,96.28,114.59,2,2,1,0,2,1
8166,991.45,1153.97,79.05,116.91,1,1,0,0,2,1
7683,631.35,378.0,38.23,39.63,7,12,3,1,3,1
7416,18.11,634.95,34.45,72.55,5,6,0,0,3,1
4027,940.78,355.63,52.45,70.35,1,0,24,4,4,1
3486,158.45,217.17,40.33,21.61,3,10,3,1,3,1
15873,1705.66,651.46,47.15,66.67,1,2,13,6,4,1
10528,1024.1,613.0,33.25,67.22,1,3,14,4,4,1
30760,3274.64,3415.5,67.07,90.49,3,2,2,1,1,1
22368,2230.06,2275.54,42.6,34.72,19,5,2,21,5,1
2579,2323.63,1617.06,93.93,84.65,1,1,1,0,2,1
2467,2303.04,1924.49,68.48,82.82,12,5,3,22,5,1
1502,1704.02,351.0,57.6,34.81,1,0,23,3,4,1
23659,724.32,897.6,85.45,114.58,0,3,0,1,2,1
10156,3970.58,908.26,69.33,126.38,3,1,1,2,1,1
24298,2515.57,1904.24,58.79,65.74,13,5,2,14,5,1
4179,857.3,827.72,28.02,19.19,0,0,0,0,0,0
20434,707.27,2523.53,68.16,124.11,16,6,4,14,5,1
3177,284.93,525.53,34.67,78.37,6,10,3,2,3,1
4380,743.83,532.1,46.05,5.0,4,22,0,5,3,1
8850,1918.31,1520.63,46.36,109.04,0,1,14,3,4,1
13021,130.64,793.97,49.35,38.58,0,0,0,0,0,0
5236,370.58,1669.56,31.11,69.14,0,2,18,7,4,1
6903,652.63,118.79,57.88,13.22,3,8,4,1,3,1
2414,386.58,277.08,61.7,30.17,3,11,1,2,3,1
15017,4835.59,3213.72,46.13,113.16,1,0,0,1,1,1
6373,1410.73,2316.15,54.09,75.05,13,1,2,20,5,1
